Digit Recognition Application
Reading training data... 
100 samples
Reading test data... 
2000 samples
Reading labels... 
2000 labels
Running... 
Checking results:
Test 0: expected = 0, result = 9
Test 101: expected = 0, result = 7
Test 102: expected = 0, result = 7
Test 103: expected = 0, result = 9
Test 104: expected = 0, result = 8
Test 105: expected = 0, result = 5
Test 106: expected = 0, result = 7
Test 107: expected = 0, result = 6
Test 108: expected = 0, result = 5
Test 109: expected = 0, result = 5
Test 110: expected = 0, result = 6
Test 111: expected = 0, result = 4
Test 112: expected = 0, result = 5
Test 113: expected = 0, result = 7
Test 114: expected = 0, result = 6
Test 115: expected = 0, result = 9
Test 116: expected = 0, result = 9
Test 117: expected = 0, result = 7
Test 119: expected = 0, result = 2
Test 120: expected = 0, result = 8
Test 121: expected = 0, result = 5
Test 122: expected = 0, result = 9
Test 123: expected = 0, result = 9
Test 124: expected = 0, result = 8
Test 125: expected = 0, result = 7
Test 126: expected = 0, result = 6
Test 127: expected = 0, result = 5
Test 128: expected = 0, result = 7
Test 129: expected = 0, result = 9
Test 130: expected = 0, result = 5
Test 131: expected = 0, result = 6
Test 132: expected = 0, result = 5
Test 133: expected = 0, result = 8
Test 135: expected = 0, result = 5
Test 136: expected = 0, result = 7
Test 137: expected = 0, result = 7
Test 138: expected = 0, result = 8
Test 139: expected = 0, result = 2
Test 140: expected = 0, result = 9
Test 141: expected = 0, result = 5
Test 142: expected = 0, result = 4
Test 143: expected = 0, result = 8
Test 144: expected = 0, result = 7
Test 145: expected = 0, result = 8
Test 146: expected = 0, result = 6
Test 147: expected = 0, result = 9
Test 148: expected = 0, result = 4
Test 149: expected = 0, result = 9
Test 150: expected = 0, result = 5
Test 151: expected = 0, result = 8
Test 152: expected = 0, result = 5
Test 153: expected = 0, result = 6
Test 154: expected = 0, result = 5
Test 155: expected = 0, result = 6
Test 156: expected = 0, result = 7
Test 157: expected = 0, result = 2
Test 158: expected = 0, result = 9
Test 159: expected = 0, result = 6
Test 160: expected = 0, result = 4
Test 161: expected = 0, result = 9
Test 162: expected = 0, result = 9
Test 163: expected = 0, result = 7
Test 164: expected = 0, result = 6
Test 165: expected = 0, result = 8
Test 166: expected = 0, result = 9
Test 167: expected = 0, result = 8
Test 168: expected = 0, result = 8
Test 169: expected = 0, result = 8
Test 170: expected = 0, result = 8
Test 171: expected = 0, result = 8
Test 172: expected = 0, result = 5
Test 173: expected = 0, result = 7
Test 174: expected = 0, result = 6
Test 175: expected = 0, result = 5
Test 176: expected = 0, result = 5
Test 177: expected = 0, result = 7
Test 178: expected = 0, result = 5
Test 179: expected = 0, result = 8
Test 180: expected = 0, result = 7
Test 181: expected = 0, result = 8
Test 182: expected = 0, result = 9
Test 183: expected = 0, result = 2
Test 184: expected = 0, result = 4
Test 185: expected = 0, result = 6
Test 186: expected = 0, result = 8
Test 187: expected = 0, result = 7
Test 188: expected = 0, result = 5
Test 189: expected = 0, result = 2
Test 190: expected = 0, result = 5
Test 191: expected = 0, result = 8
Test 192: expected = 0, result = 5
Test 193: expected = 0, result = 8
Test 194: expected = 0, result = 2
Test 195: expected = 0, result = 4
Test 196: expected = 0, result = 7
Test 197: expected = 0, result = 4
Test 198: expected = 0, result = 8
Test 199: expected = 0, result = 5
Test 200: expected = 1, result = 6
Test 201: expected = 1, result = 9
Test 202: expected = 1, result = 9
Test 203: expected = 1, result = 9
Test 204: expected = 1, result = 9
Test 205: expected = 1, result = 6
Test 206: expected = 1, result = 9
Test 207: expected = 1, result = 9
Test 208: expected = 1, result = 9
Test 209: expected = 1, result = 9
Test 210: expected = 1, result = 9
Test 211: expected = 1, result = 9
Test 212: expected = 1, result = 0
Test 213: expected = 1, result = 0
Test 214: expected = 1, result = 9
Test 215: expected = 1, result = 9
Test 216: expected = 1, result = 9
Test 217: expected = 1, result = 6
Test 218: expected = 1, result = 9
Test 219: expected = 1, result = 9
Test 220: expected = 1, result = 9
Test 221: expected = 1, result = 9
Test 222: expected = 1, result = 9
Test 223: expected = 1, result = 9
Test 224: expected = 1, result = 9
Test 225: expected = 1, result = 9
Test 226: expected = 1, result = 9
Test 227: expected = 1, result = 9
Test 228: expected = 1, result = 9
Test 229: expected = 1, result = 0
Test 230: expected = 1, result = 9
Test 231: expected = 1, result = 9
Test 232: expected = 1, result = 9
Test 233: expected = 1, result = 9
Test 234: expected = 1, result = 9
Test 235: expected = 1, result = 9
Test 236: expected = 1, result = 9
Test 237: expected = 1, result = 6
Test 238: expected = 1, result = 9
Test 239: expected = 1, result = 9
Test 240: expected = 1, result = 6
Test 241: expected = 1, result = 9
Test 242: expected = 1, result = 9
Test 243: expected = 1, result = 9
Test 244: expected = 1, result = 9
Test 245: expected = 1, result = 9
Test 246: expected = 1, result = 9
Test 247: expected = 1, result = 9
Test 248: expected = 1, result = 0
Test 249: expected = 1, result = 6
Test 250: expected = 1, result = 9
Test 251: expected = 1, result = 0
Test 252: expected = 1, result = 0
Test 253: expected = 1, result = 9
Test 254: expected = 1, result = 6
Test 255: expected = 1, result = 9
Test 256: expected = 1, result = 9
Test 257: expected = 1, result = 9
Test 258: expected = 1, result = 9
Test 259: expected = 1, result = 9
Test 260: expected = 1, result = 9
Test 261: expected = 1, result = 5
Test 262: expected = 1, result = 6
Test 263: expected = 1, result = 9
Test 264: expected = 1, result = 9
Test 265: expected = 1, result = 9
Test 266: expected = 1, result = 9
Test 267: expected = 1, result = 6
Test 268: expected = 1, result = 9
Test 269: expected = 1, result = 9
Test 270: expected = 1, result = 9
Test 271: expected = 1, result = 9
Test 272: expected = 1, result = 9
Test 273: expected = 1, result = 9
Test 274: expected = 1, result = 9
Test 275: expected = 1, result = 9
Test 276: expected = 1, result = 9
Test 277: expected = 1, result = 9
Test 278: expected = 1, result = 6
Test 279: expected = 1, result = 9
Test 280: expected = 1, result = 6
Test 281: expected = 1, result = 9
Test 282: expected = 1, result = 9
Test 283: expected = 1, result = 9
Test 284: expected = 1, result = 9
Test 285: expected = 1, result = 9
Test 286: expected = 1, result = 9
Test 287: expected = 1, result = 9
Test 288: expected = 1, result = 9
Test 289: expected = 1, result = 9
Test 290: expected = 1, result = 0
Test 291: expected = 1, result = 9
Test 292: expected = 1, result = 6
Test 293: expected = 1, result = 9
Test 294: expected = 1, result = 9
Test 295: expected = 1, result = 9
Test 296: expected = 1, result = 9
Test 297: expected = 1, result = 9
Test 298: expected = 1, result = 9
Test 299: expected = 1, result = 9
Test 300: expected = 1, result = 9
Test 301: expected = 1, result = 0
Test 302: expected = 1, result = 9
Test 303: expected = 1, result = 6
Test 304: expected = 1, result = 6
Test 305: expected = 1, result = 9
Test 306: expected = 1, result = 6
Test 307: expected = 1, result = 9
Test 308: expected = 1, result = 9
Test 309: expected = 1, result = 9
Test 310: expected = 1, result = 9
Test 311: expected = 1, result = 9
Test 312: expected = 1, result = 9
Test 313: expected = 1, result = 6
Test 314: expected = 1, result = 9
Test 315: expected = 1, result = 9
Test 316: expected = 1, result = 9
Test 317: expected = 1, result = 0
Test 318: expected = 1, result = 9
Test 319: expected = 1, result = 9
Test 320: expected = 1, result = 9
Test 321: expected = 1, result = 9
Test 322: expected = 1, result = 9
Test 323: expected = 1, result = 9
Test 324: expected = 1, result = 9
Test 325: expected = 1, result = 6
Test 326: expected = 1, result = 9
Test 327: expected = 1, result = 9
Test 328: expected = 1, result = 9
Test 329: expected = 1, result = 9
Test 330: expected = 1, result = 9
Test 331: expected = 1, result = 9
Test 332: expected = 1, result = 9
Test 333: expected = 1, result = 9
Test 334: expected = 1, result = 9
Test 335: expected = 1, result = 9
Test 336: expected = 1, result = 9
Test 337: expected = 1, result = 9
Test 338: expected = 1, result = 9
Test 339: expected = 1, result = 9
Test 340: expected = 1, result = 9
Test 341: expected = 1, result = 0
Test 342: expected = 1, result = 9
Test 343: expected = 1, result = 9
Test 344: expected = 1, result = 9
Test 345: expected = 1, result = 0
Test 346: expected = 1, result = 9
Test 347: expected = 1, result = 9
Test 348: expected = 1, result = 6
Test 349: expected = 1, result = 9
Test 350: expected = 1, result = 9
Test 351: expected = 1, result = 9
Test 352: expected = 1, result = 9
Test 353: expected = 1, result = 9
Test 354: expected = 1, result = 6
Test 355: expected = 1, result = 9
Test 356: expected = 1, result = 9
Test 357: expected = 1, result = 9
Test 358: expected = 1, result = 9
Test 359: expected = 1, result = 0
Test 360: expected = 1, result = 9
Test 361: expected = 1, result = 9
Test 362: expected = 1, result = 9
Test 363: expected = 1, result = 9
Test 364: expected = 1, result = 9
Test 365: expected = 1, result = 0
Test 366: expected = 1, result = 9
Test 367: expected = 1, result = 9
Test 368: expected = 1, result = 6
Test 369: expected = 1, result = 9
Test 370: expected = 1, result = 0
Test 371: expected = 1, result = 9
Test 372: expected = 1, result = 9
Test 373: expected = 1, result = 9
Test 374: expected = 1, result = 9
Test 375: expected = 1, result = 9
Test 376: expected = 1, result = 9
Test 377: expected = 1, result = 9
Test 378: expected = 1, result = 9
Test 379: expected = 1, result = 9
Test 380: expected = 1, result = 9
Test 381: expected = 1, result = 9
Test 382: expected = 1, result = 0
Test 383: expected = 1, result = 9
Test 384: expected = 1, result = 9
Test 385: expected = 1, result = 9
Test 386: expected = 1, result = 9
Test 387: expected = 1, result = 9
Test 388: expected = 1, result = 9
Test 389: expected = 1, result = 9
Test 390: expected = 1, result = 9
Test 391: expected = 1, result = 9
Test 392: expected = 1, result = 9
Test 393: expected = 1, result = 9
Test 394: expected = 1, result = 9
Test 395: expected = 1, result = 9
Test 396: expected = 1, result = 9
Test 397: expected = 1, result = 9
Test 398: expected = 1, result = 9
Test 399: expected = 1, result = 9
Test 400: expected = 2, result = 6
Test 401: expected = 2, result = 5
Test 402: expected = 2, result = 5
Test 403: expected = 2, result = 9
Test 404: expected = 2, result = 9
Test 405: expected = 2, result = 6
Test 406: expected = 2, result = 9
Test 407: expected = 2, result = 9
Test 408: expected = 2, result = 9
Test 409: expected = 2, result = 9
Test 410: expected = 2, result = 5
Test 411: expected = 2, result = 6
Test 412: expected = 2, result = 0
Test 413: expected = 2, result = 6
Test 414: expected = 2, result = 6
Test 415: expected = 2, result = 9
Test 416: expected = 2, result = 6
Test 417: expected = 2, result = 6
Test 418: expected = 2, result = 9
Test 419: expected = 2, result = 9
Test 420: expected = 2, result = 9
Test 421: expected = 2, result = 6
Test 422: expected = 2, result = 9
Test 423: expected = 2, result = 7
Test 424: expected = 2, result = 9
Test 425: expected = 2, result = 5
Test 426: expected = 2, result = 5
Test 427: expected = 2, result = 6
Test 428: expected = 2, result = 9
Test 429: expected = 2, result = 1
Test 430: expected = 2, result = 6
Test 431: expected = 2, result = 9
Test 432: expected = 2, result = 9
Test 433: expected = 2, result = 9
Test 434: expected = 2, result = 9
Test 435: expected = 2, result = 8
Test 436: expected = 2, result = 5
Test 437: expected = 2, result = 8
Test 438: expected = 2, result = 9
Test 439: expected = 2, result = 5
Test 440: expected = 2, result = 9
Test 441: expected = 2, result = 6
Test 442: expected = 2, result = 6
Test 443: expected = 2, result = 9
Test 444: expected = 2, result = 5
Test 445: expected = 2, result = 9
Test 446: expected = 2, result = 9
Test 447: expected = 2, result = 9
Test 448: expected = 2, result = 8
Test 449: expected = 2, result = 9
Test 450: expected = 2, result = 9
Test 451: expected = 2, result = 9
Test 452: expected = 2, result = 6
Test 453: expected = 2, result = 8
Test 454: expected = 2, result = 8
Test 455: expected = 2, result = 6
Test 456: expected = 2, result = 9
Test 457: expected = 2, result = 8
Test 458: expected = 2, result = 9
Test 459: expected = 2, result = 9
Test 460: expected = 2, result = 9
Test 461: expected = 2, result = 9
Test 462: expected = 2, result = 7
Test 463: expected = 2, result = 9
Test 464: expected = 2, result = 6
Test 465: expected = 2, result = 5
Test 466: expected = 2, result = 9
Test 467: expected = 2, result = 6
Test 468: expected = 2, result = 9
Test 469: expected = 2, result = 9
Test 470: expected = 2, result = 1
Test 471: expected = 2, result = 9
Test 472: expected = 2, result = 9
Test 473: expected = 2, result = 6
Test 474: expected = 2, result = 9
Test 475: expected = 2, result = 9
Test 476: expected = 2, result = 9
Test 477: expected = 2, result = 9
Test 478: expected = 2, result = 9
Test 479: expected = 2, result = 5
Test 480: expected = 2, result = 9
Test 481: expected = 2, result = 9
Test 482: expected = 2, result = 9
Test 483: expected = 2, result = 9
Test 484: expected = 2, result = 9
Test 485: expected = 2, result = 9
Test 486: expected = 2, result = 9
Test 487: expected = 2, result = 9
Test 488: expected = 2, result = 8
Test 489: expected = 2, result = 6
Test 490: expected = 2, result = 9
Test 491: expected = 2, result = 5
Test 492: expected = 2, result = 9
Test 493: expected = 2, result = 3
Test 494: expected = 2, result = 6
Test 495: expected = 2, result = 6
Test 496: expected = 2, result = 9
Test 497: expected = 2, result = 7
Test 498: expected = 2, result = 6
Test 499: expected = 2, result = 6
Test 500: expected = 2, result = 7
Test 501: expected = 2, result = 9
Test 502: expected = 2, result = 9
Test 503: expected = 2, result = 0
Test 504: expected = 2, result = 6
Test 505: expected = 2, result = 9
Test 506: expected = 2, result = 0
Test 507: expected = 2, result = 9
Test 508: expected = 2, result = 9
Test 509: expected = 2, result = 1
Test 510: expected = 2, result = 9
Test 511: expected = 2, result = 9
Test 512: expected = 2, result = 8
Test 513: expected = 2, result = 9
Test 514: expected = 2, result = 8
Test 515: expected = 2, result = 5
Test 516: expected = 2, result = 9
Test 517: expected = 2, result = 9
Test 518: expected = 2, result = 6
Test 519: expected = 2, result = 0
Test 520: expected = 2, result = 9
Test 521: expected = 2, result = 9
Test 522: expected = 2, result = 9
Test 523: expected = 2, result = 9
Test 524: expected = 2, result = 9
Test 525: expected = 2, result = 6
Test 526: expected = 2, result = 8
Test 527: expected = 2, result = 6
Test 528: expected = 2, result = 8
Test 529: expected = 2, result = 9
Test 530: expected = 2, result = 6
Test 531: expected = 2, result = 5
Test 532: expected = 2, result = 9
Test 533: expected = 2, result = 4
Test 534: expected = 2, result = 9
Test 535: expected = 2, result = 3
Test 536: expected = 2, result = 0
Test 537: expected = 2, result = 9
Test 538: expected = 2, result = 8
Test 539: expected = 2, result = 5
Test 540: expected = 2, result = 9
Test 541: expected = 2, result = 5
Test 542: expected = 2, result = 9
Test 543: expected = 2, result = 5
Test 544: expected = 2, result = 9
Test 545: expected = 2, result = 9
Test 546: expected = 2, result = 6
Test 547: expected = 2, result = 9
Test 548: expected = 2, result = 9
Test 549: expected = 2, result = 9
Test 550: expected = 2, result = 9
Test 551: expected = 2, result = 9
Test 552: expected = 2, result = 8
Test 553: expected = 2, result = 5
Test 554: expected = 2, result = 9
Test 555: expected = 2, result = 9
Test 556: expected = 2, result = 6
Test 557: expected = 2, result = 9
Test 558: expected = 2, result = 9
Test 559: expected = 2, result = 6
Test 560: expected = 2, result = 9
Test 561: expected = 2, result = 1
Test 562: expected = 2, result = 9
Test 563: expected = 2, result = 9
Test 564: expected = 2, result = 9
Test 565: expected = 2, result = 6
Test 566: expected = 2, result = 8
Test 567: expected = 2, result = 9
Test 568: expected = 2, result = 6
Test 569: expected = 2, result = 0
Test 570: expected = 2, result = 5
Test 571: expected = 2, result = 9
Test 572: expected = 2, result = 6
Test 573: expected = 2, result = 6
Test 574: expected = 2, result = 9
Test 575: expected = 2, result = 6
Test 576: expected = 2, result = 9
Test 577: expected = 2, result = 9
Test 578: expected = 2, result = 9
Test 579: expected = 2, result = 9
Test 580: expected = 2, result = 9
Test 581: expected = 2, result = 9
Test 582: expected = 2, result = 7
Test 583: expected = 2, result = 5
Test 584: expected = 2, result = 9
Test 585: expected = 2, result = 9
Test 586: expected = 2, result = 0
Test 587: expected = 2, result = 3
Test 588: expected = 2, result = 9
Test 589: expected = 2, result = 9
Test 590: expected = 2, result = 8
Test 591: expected = 2, result = 9
Test 592: expected = 2, result = 9
Test 593: expected = 2, result = 9
Test 594: expected = 2, result = 9
Test 595: expected = 2, result = 5
Test 596: expected = 2, result = 6
Test 597: expected = 2, result = 9
Test 598: expected = 2, result = 9
Test 599: expected = 2, result = 9
Test 600: expected = 3, result = 8
Test 601: expected = 3, result = 9
Test 602: expected = 3, result = 9
Test 603: expected = 3, result = 8
Test 604: expected = 3, result = 6
Test 605: expected = 3, result = 8
Test 606: expected = 3, result = 4
Test 607: expected = 3, result = 1
Test 608: expected = 3, result = 9
Test 609: expected = 3, result = 7
Test 610: expected = 3, result = 4
Test 611: expected = 3, result = 6
Test 612: expected = 3, result = 6
Test 613: expected = 3, result = 6
Test 614: expected = 3, result = 9
Test 615: expected = 3, result = 6
Test 616: expected = 3, result = 9
Test 617: expected = 3, result = 6
Test 618: expected = 3, result = 9
Test 619: expected = 3, result = 9
Test 620: expected = 3, result = 6
Test 621: expected = 3, result = 8
Test 622: expected = 3, result = 6
Test 623: expected = 3, result = 9
Test 624: expected = 3, result = 6
Test 625: expected = 3, result = 6
Test 626: expected = 3, result = 6
Test 627: expected = 3, result = 9
Test 628: expected = 3, result = 4
Test 629: expected = 3, result = 9
Test 630: expected = 3, result = 8
Test 631: expected = 3, result = 6
Test 632: expected = 3, result = 9
Test 633: expected = 3, result = 4
Test 634: expected = 3, result = 9
Test 635: expected = 3, result = 8
Test 636: expected = 3, result = 5
Test 637: expected = 3, result = 9
Test 638: expected = 3, result = 7
Test 639: expected = 3, result = 8
Test 640: expected = 3, result = 1
Test 642: expected = 3, result = 6
Test 643: expected = 3, result = 8
Test 644: expected = 3, result = 9
Test 645: expected = 3, result = 6
Test 646: expected = 3, result = 9
Test 647: expected = 3, result = 6
Test 648: expected = 3, result = 2
Test 649: expected = 3, result = 5
Test 650: expected = 3, result = 6
Test 651: expected = 3, result = 6
Test 652: expected = 3, result = 6
Test 653: expected = 3, result = 1
Test 654: expected = 3, result = 8
Test 655: expected = 3, result = 8
Test 656: expected = 3, result = 9
Test 657: expected = 3, result = 8
Test 658: expected = 3, result = 9
Test 659: expected = 3, result = 7
Test 660: expected = 3, result = 5
Test 661: expected = 3, result = 2
Test 662: expected = 3, result = 5
Test 663: expected = 3, result = 6
Test 664: expected = 3, result = 9
Test 665: expected = 3, result = 6
Test 666: expected = 3, result = 0
Test 668: expected = 3, result = 7
Test 669: expected = 3, result = 9
Test 670: expected = 3, result = 8
Test 671: expected = 3, result = 6
Test 672: expected = 3, result = 0
Test 673: expected = 3, result = 9
Test 674: expected = 3, result = 1
Test 675: expected = 3, result = 0
Test 676: expected = 3, result = 7
Test 677: expected = 3, result = 4
Test 678: expected = 3, result = 8
Test 679: expected = 3, result = 8
Test 680: expected = 3, result = 6
Test 681: expected = 3, result = 8
Test 682: expected = 3, result = 6
Test 683: expected = 3, result = 2
Test 684: expected = 3, result = 9
Test 685: expected = 3, result = 6
Test 686: expected = 3, result = 8
Test 687: expected = 3, result = 9
Test 688: expected = 3, result = 8
Test 689: expected = 3, result = 1
Test 690: expected = 3, result = 0
Test 691: expected = 3, result = 1
Test 692: expected = 3, result = 9
Test 693: expected = 3, result = 6
Test 694: expected = 3, result = 9
Test 695: expected = 3, result = 9
Test 696: expected = 3, result = 7
Test 697: expected = 3, result = 4
Test 698: expected = 3, result = 9
Test 699: expected = 3, result = 9
Test 700: expected = 3, result = 9
Test 701: expected = 3, result = 7
Test 702: expected = 3, result = 8
Test 703: expected = 3, result = 9
Test 704: expected = 3, result = 5
Test 705: expected = 3, result = 9
Test 706: expected = 3, result = 6
Test 707: expected = 3, result = 1
Test 708: expected = 3, result = 9
Test 709: expected = 3, result = 5
Test 710: expected = 3, result = 6
Test 711: expected = 3, result = 6
Test 712: expected = 3, result = 6
Test 713: expected = 3, result = 9
Test 714: expected = 3, result = 6
Test 715: expected = 3, result = 9
Test 716: expected = 3, result = 4
Test 717: expected = 3, result = 9
Test 718: expected = 3, result = 0
Test 719: expected = 3, result = 6
Test 720: expected = 3, result = 8
Test 721: expected = 3, result = 6
Test 722: expected = 3, result = 6
Test 723: expected = 3, result = 8
Test 724: expected = 3, result = 9
Test 725: expected = 3, result = 8
Test 726: expected = 3, result = 9
Test 727: expected = 3, result = 6
Test 728: expected = 3, result = 6
Test 729: expected = 3, result = 5
Test 730: expected = 3, result = 6
Test 731: expected = 3, result = 0
Test 732: expected = 3, result = 9
Test 733: expected = 3, result = 6
Test 734: expected = 3, result = 8
Test 735: expected = 3, result = 9
Test 736: expected = 3, result = 8
Test 737: expected = 3, result = 6
Test 738: expected = 3, result = 6
Test 739: expected = 3, result = 6
Test 740: expected = 3, result = 5
Test 741: expected = 3, result = 8
Test 742: expected = 3, result = 8
Test 743: expected = 3, result = 8
Test 744: expected = 3, result = 1
Test 745: expected = 3, result = 9
Test 746: expected = 3, result = 0
Test 747: expected = 3, result = 8
Test 748: expected = 3, result = 8
Test 749: expected = 3, result = 9
Test 750: expected = 3, result = 8
Test 751: expected = 3, result = 6
Test 752: expected = 3, result = 9
Test 753: expected = 3, result = 6
Test 754: expected = 3, result = 6
Test 755: expected = 3, result = 6
Test 756: expected = 3, result = 6
Test 757: expected = 3, result = 6
Test 758: expected = 3, result = 0
Test 759: expected = 3, result = 6
Test 760: expected = 3, result = 6
Test 761: expected = 3, result = 6
Test 762: expected = 3, result = 6
Test 763: expected = 3, result = 8
Test 764: expected = 3, result = 9
Test 765: expected = 3, result = 6
Test 766: expected = 3, result = 0
Test 767: expected = 3, result = 1
Test 768: expected = 3, result = 6
Test 769: expected = 3, result = 6
Test 770: expected = 3, result = 8
Test 771: expected = 3, result = 9
Test 772: expected = 3, result = 9
Test 773: expected = 3, result = 8
Test 774: expected = 3, result = 6
Test 775: expected = 3, result = 6
Test 776: expected = 3, result = 0
Test 777: expected = 3, result = 5
Test 778: expected = 3, result = 8
Test 779: expected = 3, result = 5
Test 780: expected = 3, result = 6
Test 781: expected = 3, result = 9
Test 782: expected = 3, result = 9
Test 783: expected = 3, result = 7
Test 784: expected = 3, result = 6
Test 785: expected = 3, result = 1
Test 786: expected = 3, result = 1
Test 787: expected = 3, result = 9
Test 788: expected = 3, result = 9
Test 789: expected = 3, result = 9
Test 790: expected = 3, result = 5
Test 791: expected = 3, result = 8
Test 792: expected = 3, result = 6
Test 793: expected = 3, result = 6
Test 794: expected = 3, result = 9
Test 795: expected = 3, result = 9
Test 796: expected = 3, result = 6
Test 797: expected = 3, result = 5
Test 798: expected = 3, result = 8
Test 799: expected = 3, result = 8
Test 800: expected = 4, result = 9
Test 801: expected = 4, result = 7
Test 802: expected = 4, result = 9
Test 803: expected = 4, result = 6
Test 804: expected = 4, result = 9
Test 805: expected = 4, result = 8
Test 807: expected = 4, result = 9
Test 809: expected = 4, result = 9
Test 810: expected = 4, result = 9
Test 811: expected = 4, result = 9
Test 812: expected = 4, result = 9
Test 813: expected = 4, result = 3
Test 814: expected = 4, result = 9
Test 815: expected = 4, result = 0
Test 816: expected = 4, result = 9
Test 817: expected = 4, result = 6
Test 818: expected = 4, result = 8
Test 819: expected = 4, result = 9
Test 820: expected = 4, result = 9
Test 821: expected = 4, result = 8
Test 822: expected = 4, result = 9
Test 823: expected = 4, result = 7
Test 824: expected = 4, result = 6
Test 825: expected = 4, result = 3
Test 826: expected = 4, result = 0
Test 827: expected = 4, result = 9
Test 828: expected = 4, result = 6
Test 829: expected = 4, result = 7
Test 830: expected = 4, result = 9
Test 831: expected = 4, result = 9
Test 832: expected = 4, result = 3
Test 833: expected = 4, result = 0
Test 834: expected = 4, result = 6
Test 835: expected = 4, result = 5
Test 836: expected = 4, result = 9
Test 837: expected = 4, result = 9
Test 838: expected = 4, result = 9
Test 839: expected = 4, result = 9
Test 840: expected = 4, result = 9
Test 841: expected = 4, result = 8
Test 842: expected = 4, result = 9
Test 843: expected = 4, result = 9
Test 844: expected = 4, result = 8
Test 845: expected = 4, result = 9
Test 846: expected = 4, result = 9
Test 847: expected = 4, result = 9
Test 848: expected = 4, result = 3
Test 849: expected = 4, result = 9
Test 851: expected = 4, result = 3
Test 852: expected = 4, result = 8
Test 853: expected = 4, result = 9
Test 854: expected = 4, result = 0
Test 855: expected = 4, result = 8
Test 856: expected = 4, result = 9
Test 857: expected = 4, result = 7
Test 858: expected = 4, result = 9
Test 859: expected = 4, result = 9
Test 860: expected = 4, result = 0
Test 862: expected = 4, result = 9
Test 863: expected = 4, result = 9
Test 864: expected = 4, result = 9
Test 865: expected = 4, result = 9
Test 866: expected = 4, result = 6
Test 867: expected = 4, result = 9
Test 868: expected = 4, result = 9
Test 869: expected = 4, result = 8
Test 870: expected = 4, result = 9
Test 872: expected = 4, result = 7
Test 873: expected = 4, result = 9
Test 874: expected = 4, result = 0
Test 875: expected = 4, result = 1
